k,n,p,nombre,longitud_esperada,prob_cobertura
50,20,0.9,clopper,0.038063937501921906,0.9515
50,20,0.99,asintotico_cuadratico,0.012724560760996395,0.9595
50,20,0.99,asintotico_slutsky,0.012165337545643827,0.9305
50,20,0.99,bootstrap,0.01186861250000002,0.914
50,20,0.99,clopper,0.013348510062763434,0.9695
50,50,0.01,asintotico_cuadratico,0.007897738903292793,0.9435
50,50,0.01,asintotico_slutsky,0.0077575901148239194,0.9495
50,50,0.01,bootstrap,0.007589754999999999,0.9245
50,50,0.01,clopper,0.0082030566851681,0.9555
50,50,0.1,asintotico_cuadratico,0.023516177933178298,0.957
50,50,0.1,asintotico_slutsky,0.023502100256701255,0.9495
50,50,0.1,bootstrap,0.02308544,0.9465
50,50,0.1,clopper,0.023901131845105485,0.9595
50,50,0.5,asintotico_cuadratico,0.03916133031374994,0.947
50,50,0.5,asintotico_slutsky,0.0391913939902494,0.947
50,50,0.5,bootstrap,0.03846791499999999,0.939
50,50,0.5,clopper,0.03957196683497723,0.955
50,50,0.9,asintotico_cuadratico,0.023520065415119227,0.9485
50,50,0.9,asintotico_slutsky,0.023505998483227965,0.9435
50,50,0.9,bootstrap,0.023021299999999998,0.927
50,50,0.9,clopper,0.023905025561753567,0.9525
50,50,0.99,asintotico_cuadratico,0.007880162162608884,0.939
50,50,0.99,asintotico_slutsky,0.007739598526321211,0.9415
50,50,0.99,bootstrap,0.007576304999999998,0.913
50,50,0.99,clopper,0.008185211959327934,0.95
50,100,0.01,asintotico_cuadratico,0.0055405225567391634,0.941
50,100,0.01,asintotico_slutsky,0.005491019940068236,0.9455
50,100,0.01,bootstrap,0.0054074375,0.9265
50,100,0.01,clopper,0.005707066908908527,0.948
50,100,0.1,asintotico_cuadratico,0.016632552919667032,0.9575
50,100,0.1,asintotico_slutsky,0.016627585061328727,0.959
50,100,0.1,bootstrap,0.016301399999999997,0.947
50,100,0.1,clopper,0.01682728386636217,0.959
50,100,0.5,asintotico_cuadratico,0.027704640383061935,0.9455
50,100,0.5,asintotico_slutsky,0.02771527881507798,0.9455
50,100,0.5,bootstrap,0.027128700000000002,0.9345
50,100,0.5,clopper,0.027908455729453278,0.9455
50,100,0.9,asintotico_cuadratico,0.016627927737425108,0.9455
50,100,0.9,asintotico_slutsky,0.01662295103065513,0.95
50,100,0.9,bootstrap,0.01627222,0.9355
50,100,0.9,clopper,0.016822653348706803,0.9485
50,100,0.99,asintotico_cuadratico,0.005544919849310282,0.9545
50,100,0.99,asintotico_slutsky,0.005495490377427084,0.957
50,100,0.99,bootstrap,0.005375077499999998,0.9435
50,100,0.99,clopper,0.005711511856416221,0.9615
100,1,0.01,asintotico_cuadratico,0.05118114296129389,0.921
100,1,0.01,asintotico_slutsky,0.030455766437493356,0.643
100,1,0.01,bootstrap,0.026394124999999997,0.6285
100,1,0.01,clopper,0.052494619931654316,0.983
100,1,0.1,asintotico_cuadratico,0.1183999367166929,0.936
100,1,0.1,asintotico_slutsky,0.116669364518546,0.933
100,1,0.1,bootstrap,0.11516924999999999,0.917
100,1,0.1,clopper,0.12636699933075257,0.9575
100,1,0.5,asintotico_cuadratico,0.19140201070101973,0.945
100,1,0.5,asintotico_slutsky,0.19500679759784617,0.945
100,1,0.5,bootstrap,0.19383324999999998,0.9385
100,1,0.5,clopper,0.20239266768254338,0.964
100,1,0.9,asintotico_cuadratico,0.11734812939174463,0.927
100,1,0.9,asintotico_slutsky,0.11551052809186452,0.9265
100,1,0.9,bootstrap,0.11399924999999997,0.909
100,1,0.9,clopper,0.12525357368905096,0.9455
100,1,0.99,asintotico_cuadratico,0.05084544499241855,0.9235
100,1,0.99,asintotico_slutsky,0.029595878146778002,0.6195
100,1,0.99,bootstrap,0.025728250000000015,0.603
100,1,0.99,clopper,0.05211182069317481,0.9825
100,5,0.01,asintotico_cuadratico,0.018648132123448246,0.9595
100,5,0.01,asintotico_slutsky,0.017022045435155023,0.875
100,5,0.01,bootstrap,0.016480275,0.8655
100,5,0.01,clopper,0.019593258627441882,0.979
100,5,0.1,asintotico_cuadratico,0.05263055260427284,0.971
100,5,0.1,asintotico_slutsky,0.052473591486764934,0.9595
100,5,0.1,bootstrap,0.05179784999999999,0.952
100,5,0.1,clopper,0.05445700256244561,0.9765
100,5,0.5,asintotico_cuadratico,0.08723155150569782,0.951
100,5,0.5,asintotico_slutsky,0.0875653431258437,0.951
100,5,0.5,bootstrap,0.0866781,0.9465
100,5,0.5,clopper,0.08934238535112383,0.958
100,5,0.9,asintotico_cuadratico,0.05264379358839892,0.9595
100,5,0.9,asintotico_slutsky,0.05248703852952638,0.9515
100,5,0.9,bootstrap,0.051922349999999985,0.9465
100,5,0.9,clopper,0.05447036435844709,0.963
100,5,0.99,asintotico_cuadratico,0.018645529853891656,0.964
100,5,0.99,asintotico_slutsky,0.017042512293415694,0.877
100,5,0.99,bootstrap,0.01654322500000002,0.866
100,5,0.99,clopper,0.019593772786619612,0.985
100,20,0.01,asintotico_cuadratico,0.008871435995023496,0.952
100,20,0.01,asintotico_slutsky,0.008675935294392685,0.954
100,20,0.01,bootstrap,0.00854780625,0.926
100,20,0.01,clopper,0.009239397199100207,0.9645
100,20,0.1,asintotico_cuadratico,0.02628768668809035,0.953
100,20,0.1,asintotico_slutsky,0.02626798848161364,0.9475
100,20,0.1,bootstrap,0.02597838125,0.9415
100,20,0.1,clopper,0.02676657431177858,0.957
100,20,0.5,asintotico_cuadratico,0.04377338102047865,0.95
100,20,0.5,asintotico_slutsky,0.043815378650837795,0.95
100,20,0.5,bootstrap,0.043312368749999997,0.945
100,20,0.5,clopper,0.04428815663225874,0.954
100,20,0.9,asintotico_cuadratico,0.02630070904078858,0.9605
100,20,0.9,asintotico_slutsky,0.0262810721519398,0.9555
100,20,0.9,bootstrap,0.02601239374999999,0.9455
100,20,0.9,clopper,0.026779633542208935,0.965
100,20,0.99,asintotico_cuadratico,0.00885186877691307,0.9415
100,20,0.99,asintotico_slutsky,0.0086556702084410065,0.942
100,20,0.99,bootstrap,0.008525368750000007,0.915
100,20,0.99,clopper,0.009219381167941704,0.952
100,50,0.01,asintotico_cuadratico,0.0055502882143620876,0.942
100,50,0.01,asintotico_slutsky,0.005500898638790617,0.946
100,50,0.01,bootstrap,0.0054513075,0.936
100,50,0.01,clopper,0.005716905977789816,0.948
100,50,0.1,asintotico_cuadratico,0.016642109066388723,0.9415
100,50,0.1,asintotico_slutsky,0.016637158321644505,0.943
100,50,0.1,bootstrap,0.0164538825,0.9375
100,50,0.1,clopper,0.01683685026406315,0.9435
100,50,0.5,asintotico_cuadratico,0.027704709963463345,0.956
100,50,0.5,asintotico_slutsky,0.0277153484757213,0.956
100,50,0.5,bootstrap,0.027368885000000003,0.941
100,50,0.5,clopper,0.027908525355146818,0.956
100,50,0.9,asintotico_cuadratico,0.016616809022680607,0.951
100,50,0.9,asintotico_slutsky,0.01661181209097063,0.95
100,50,0.9,bootstrap,0.016369027499999998,0.939
100,50,0.9,clopper,0.01681152249978887,0.953
100,50,0.99,asintotico_cuadratico,0.00555202750695883,0.9445
100,50,0.99,asintotico_slutsky,0.005502642611849537,0.9505
100,50,0.99,bootstrap,0.005435972499999999,0.9315
100,50,0.99,clopper,0.005718648208064376,0.954
100,100,0.01,asintotico_cuadratico,0.003916396935062005,0.946
100,100,0.01,asintotico_slutsky,0.0038989768091963668,0.944
100,100,0.01,bootstrap,0.0038582137499999993,0.9335
100,100,0.01,clopper,0.004004624185149613,0.951
100,100,0.1,asintotico_cuadratico,0.011759017864019925,0.9505
100,100,0.1,asintotico_slutsky,0.011757259951334234,0.949
100,100,0.1,bootstrap,0.011612224999999999,0.943
100,100,0.1,clopper,0.011857165527056063,0.9515
100,100,0.5,asintotico_cuadratico,0.019594875423547157,0.944
100,100,0.5,asintotico_slutsky,0.0195986383229101,0.944
100,100,0.5,bootstrap,0.019339195000000003,0.9395
100,100,0.5,clopper,0.019696237548745197,0.946
100,100,0.9,asintotico_cuadratico,0.011759579040796,0.946
100,100,0.9,asintotico_slutsky,0.01175782163518745,0.947
100,100,0.9,bootstrap,0.011629168749999998,0.9365
100,100,0.9,clopper,0.011857727007944935,0.9495
100,100,0.99,asintotico_cuadratico,0.003914625685175562,0.9475
100,100,0.99,asintotico_slutsky,0.0038971958167323207,0.941
100,100,0.99,bootstrap,0.0038404224999999993,0.9335
100,100,0.99,clopper,0.0040028465963820705,0.9535
500,1,0.01,asintotico_cuadratico,0.018550413254537525,0.9665
500,1,0.01,asintotico_slutsky,0.016931732039503634,0.867
500,1,0.01,bootstrap,0.016447999999999997,0.8585
500,1,0.01,clopper,0.019490027828867537,0.981
500,1,0.1,asintotico_cuadratico,0.05254327219706745,0.952
500,1,0.1,asintotico_slutsky,0.05238453243824334,0.9385
500,1,0.1,bootstrap,0.052042475,0.936
500,1,0.1,clopper,0.054368650821513875,0.9575
500,1,0.5,asintotico_cuadratico,0.08723255933123802,0.942
500,1,0.5,asintotico_slutsky,0.08756636255474784,0.942
500,1,0.5,bootstrap,0.08705115000000001,0.9385
500,1,0.5,clopper,0.08934339969369491,0.951
500,1,0.9,asintotico_cuadratico,0.05260731971254526,0.9535
500,1,0.9,asintotico_slutsky,0.05244967424832704,0.9365
500,1,0.9,bootstrap,0.05222260000000003,0.936
500,1,0.9,clopper,0.05443334666139627,0.96
500,1,0.99,asintotico_cuadratico,0.018487396711557923,0.9695
500,1,0.99,asintotico_slutsky,0.016855635128692203,0.8695
500,1,0.99,bootstrap,0.016391150000000014,0.864
500,1,0.99,clopper,0.019423419512520843,0.987
500,5,0.01,asintotico_cuadratico,0.007872752713296368,0.9565
500,5,0.01,asintotico_slutsky,0.0077322154186567245,0.9535
500,5,0.01,bootstrap,0.007663124999999999,0.939
500,5,0.01,clopper,0.008177819674175453,0.9635
500,5,0.1,asintotico_cuadratico,0.02353283810997574,0.96
500,5,0.1,asintotico_slutsky,0.023518822221795462,0.955
500,5,0.1,bootstrap,0.023375289999999996,0.9535
500,5,0.1,clopper,0.023917829139011727,0.9625
500,5,0.5,asintotico_cuadratico,0.0391613413919798,0.95
500,5,0.5,asintotico_slutsky,0.039191405093939806,0.95
500,5,0.5,bootstrap,0.03896957999999999,0.95
500,5,0.5,clopper,0.03957197792756189,0.9555
500,5,0.9,asintotico_cuadratico,0.023515655370290805,0.9445
500,5,0.9,asintotico_slutsky,0.023501571724944447,0.9355
500,5,0.9,bootstrap,0.023353244999999977,0.935
500,5,0.9,clopper,0.023900605455540475,0.948
500,5,0.99,asintotico_cuadratico,0.007896453713385808,0.9465
